"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1563","test_search_product[chromium]","topMarket_project.tests","Fri May 08 07:10:59 UTC 2026","passed","Fri May 08 07:11:00 UTC 2026","TestSearchProduct","test_search_product","",""
"","32729","test_names_item_in_cart[chromium]","topMarket_project.tests","Fri May 08 07:11:06 UTC 2026","broken","Fri May 08 07:11:39 UTC 2026","TestSearchProductInCart","test_search_product_in_cart","",""
"","20820","test_close_cart[chromium]","topMarket_project.tests","Fri May 08 07:09:33 UTC 2026","passed","Fri May 08 07:09:54 UTC 2026","TestClearCart","test_clear_close_cart","",""
"","60326","test_view_cart[chromium]","topMarket_project.tests","Fri May 08 07:14:48 UTC 2026","broken","Fri May 08 07:15:48 UTC 2026","TestViewCart","test_view_cart","",""
"","27539","test_submit_successfully[chromium]","topMarket_project.tests","Fri May 08 07:12:40 UTC 2026","passed","Fri May 08 07:13:07 UTC 2026","TestSubmitThePurchase","test_submit_the_purchase","",""
"","1961","test_product_not_found[chromium]","topMarket_project.tests","Fri May 08 07:11:02 UTC 2026","passed","Fri May 08 07:11:04 UTC 2026","TestSearchProduct","test_search_product","",""
"","2817","test_feature_product[chromium]","topMarket_project.tests","Fri May 08 07:09:55 UTC 2026","passed","Fri May 08 07:09:58 UTC 2026","TestFeaturesProduct","test_features_product","",""
"","31881","test_register_success[chromium]","topMarket_project.tests","Fri May 08 07:14:06 UTC 2026","broken","Fri May 08 07:14:38 UTC 2026","TestRegister","test_subscribe","",""
"","22054","test_verify_checkout_page[chromium]","topMarket_project.tests","Fri May 08 07:12:16 UTC 2026","passed","Fri May 08 07:12:38 UTC 2026","TestSubmitThePurchase","test_submit_the_purchase","",""
"","22371","test_mandatory_field[chromium]","topMarket_project.tests","Fri May 08 07:13:09 UTC 2026","passed","Fri May 08 07:13:31 UTC 2026","TestSubmitThePurchase","test_submit_the_purchase","",""
"","3070","test_choose_item[chromium]","topMarket_project.tests","Fri May 08 07:08:33 UTC 2026","passed","Fri May 08 07:08:36 UTC 2026","TestChooseItem","test_choose_item","",""
"","22464","test_proceed_to_checkout[chromium]","topMarket_project.tests","Fri May 08 07:10:00 UTC 2026","passed","Fri May 08 07:10:22 UTC 2026","TestProceedToCheckout","test_proceed_to_checkout","",""
"","598","test_invalid_email[chromium]","topMarket_project.tests","Fri May 08 07:14:41 UTC 2026","passed","Fri May 08 07:14:41 UTC 2026","TestRegister","test_subscribe","",""
"","1290","test_is_terms_and_conditions_page[chromium]","topMarket_project.tests","Fri May 08 07:14:45 UTC 2026","broken","Fri May 08 07:14:46 UTC 2026","TestTermsAndConditions","test_terms_and_coditions","",""
"","3565","test_add_to_cart[chromium]","topMarket_project.tests","Fri May 08 07:08:20 UTC 2026","passed","Fri May 08 07:08:24 UTC 2026","TestAddToCart","test_add_to_cart","",""
"","6234","test_add_to_cart2[chromium]","topMarket_project.tests","Fri May 08 07:08:26 UTC 2026","failed","Fri May 08 07:08:32 UTC 2026","TestAddToCart","test_add_to_cart","",""
"","31702","test_summary_item[chromium]","topMarket_project.tests","Fri May 08 07:13:33 UTC 2026","broken","Fri May 08 07:14:04 UTC 2026","TestSubmitThePurchase","test_submit_the_purchase","",""
"","28875","test_remove_product_from_cart[chromium]","topMarket_project.tests","Fri May 08 07:10:24 UTC 2026","failed","Fri May 08 07:10:53 UTC 2026","TestRemoveFromCart","test_remove_from_cart","",""
"","52240","test_clear_cart[chromium]","topMarket_project.tests","Fri May 08 07:08:38 UTC 2026","broken","Fri May 08 07:09:30 UTC 2026","TestClearCart","test_clear_close_cart","",""
"","32549","test_share_product[chromium]","topMarket_project.tests","Fri May 08 07:11:41 UTC 2026","broken","Fri May 08 07:12:14 UTC 2026","TestShareProduct","test_share_product","",""
"","31448","test_add_quantity_in_cart[chromium]","topMarket_project.tests","Fri May 08 07:07:47 UTC 2026","broken","Fri May 08 07:08:18 UTC 2026","TestAddQuantityInCart","test_add_quantity_in_cart","",""
"","2402","test_is_search_page[chromium]","topMarket_project.tests","Fri May 08 07:10:54 UTC 2026","passed","Fri May 08 07:10:57 UTC 2026","TestSearchProduct","test_search_product","",""
"","254","test_radio_btn_must[chromium]","topMarket_project.tests","Fri May 08 07:14:43 UTC 2026","passed","Fri May 08 07:14:43 UTC 2026","TestRegister","test_subscribe","",""
